     1	-20	-20.000	-0.276	0.508
     2	-20	-20.000	-1.364	0.517
     3	-21	-20.010	1.307	0.512
     4	-21	-20.020	-0.141	0.505
     5	-20	-20.020	-0.143	0.508
     6	-21	-20.030	-1.036	0.516
     7	-21	-20.039	0.186	0.503
     8	-20	-20.039	-0.300	0.513
     9	-21	-20.048	0.692	0.516
    10	-21	-20.058	-0.365	0.508
    11	-20	-20.057	-10.231	0.522
    12	-20	-20.057	-9.953	0.523
    13	-20	-20.056	-0.143	0.526
    14	-21	-20.066	-2.284	0.521
    15	-20	-20.065	7.532	0.522
    16	-21	-20.074	-1.144	0.524
    17	-18	-20.054	-2.041	0.517
    18	-21	-20.063	-1.885	0.504
    19	-20	-20.062	4.396	0.513
    20	-20	-20.062	6.104	0.531
    21	-21	-20.071	5.707	0.504
    22	-19	-20.060	-9.676	0.523
    23	-21	-20.070	5.373	0.512
    24	-19	-20.059	-5.001	0.506
    25	-21	-20.069	6.258	0.515
    26	-21	-20.078	5.135	0.515
    27	-19	-20.067	-3.256	0.518
    28	-21	-20.076	3.986	0.507
    29	-21	-20.086	-6.127	0.502
    30	-21	-20.095	11.531	0.510
    31	-21	-20.104	0.102	0.504
    32	-20	-20.103	3.489	0.508
    33	-21	-20.112	-1.614	0.505
    34	-20	-20.111	-3.672	0.519
    35	-21	-20.120	-16.460	0.516
    36	-19	-20.108	6.978	0.515
    37	-18	-20.087	-4.615	0.511
    38	-20	-20.086	20.369	0.511
    39	-20	-20.086	4.435	0.520
    40	-21	-20.095	7.427	0.527
    41	-21	-20.104	-8.956	0.509
    42	-21	-20.113	-9.137	0.512
    43	-17	-20.082	-30.667	0.513
    44	-21	-20.091	35.968	0.510
    45	-20	-20.090	10.025	0.516
    46	-19	-20.079	12.194	0.505
    47	-21	-20.088	-9.129	0.522
    48	-21	-20.097	-2.766	0.510
    49	-18	-20.076	-36.353	0.508
    50	-21	-20.086	12.377	0.520
    51	-21	-20.095	16.300	0.514
    52	-21	-20.104	-14.921	0.504
    53	-21	-20.113	24.776	0.511
    54	-20	-20.112	-2.178	0.516
    55	-21	-20.120	8.827	0.508
    56	-20	-20.119	15.423	0.514
    57	-21	-20.128	1.744	0.507
    58	-21	-20.137	17.483	0.503
    59	-21	-20.145	1.692	0.508
    60	-21	-20.154	18.641	0.504
    61	-21	-20.162	-6.060	0.509
    62	-21	-20.171	-2.952	0.519
    63	-21	-20.179	-26.883	0.521
    64	-21	-20.187	27.590	0.509
    65	-20	-20.185	-9.983	0.522
    66	-21	-20.194	-1.243	0.509
    67	-20	-20.192	17.794	0.517
    68	-20	-20.190	7.703	0.513
    69	-19	-20.178	9.683	0.509
    70	-21	-20.186	-34.112	0.508
    71	-21	-20.194	0.547	0.523
    72	-20	-20.192	-13.632	0.521
    73	-21	-20.200	-2.282	0.508
    74	-21	-20.208	-3.310	0.505
    75	-21	-20.216	7.691	0.505
    76	-20	-20.214	8.893	0.511
    77	-20	-20.212	33.038	0.516
    78	-20	-20.210	-12.314	0.518
    79	-21	-20.218	-10.125	0.506
    80	-21	-20.226	-6.279	0.507
    81	-21	-20.233	-5.719	0.512
    82	-20	-20.231	7.808	0.521
    83	-21	-20.239	10.337	0.515
    84	-21	-20.246	6.628	0.516
    85	-21	-20.254	26.952	0.515
    86	-21	-20.261	12.329	0.505
    87	-21	-20.269	6.467	0.511
    88	-20	-20.266	-9.111	0.520
    89	-21	-20.273	-12.788	0.519
    90	-19	-20.261	-4.612	0.507
    91	-20	-20.258	25.407	0.514
    92	-21	-20.265	2.498	0.511
    93	-20	-20.263	7.747	0.511
    94	-21	-20.270	15.904	0.514
    95	-20	-20.267	11.113	0.516
    96	-20	-20.265	13.461	0.517
    97	-21	-20.272	-10.088	0.510
    98	-18	-20.249	8.358	0.507
    99	-20	-20.247	-11.973	0.518
   100	-19	-20.234	-5.134	0.511
   101	-21	-20.242	1.044	0.511
   102	-20	-20.240	-9.482	0.510
   103	-21	-20.247	4.818	0.505
   104	-21	-20.255	-11.908	0.513
   105	-21	-20.262	17.142	0.516
   106	-21	-20.270	-6.323	0.514
   107	-20	-20.267	-10.763	0.507
   108	-20	-20.264	0.985	0.513
   109	-21	-20.272	3.843	0.507
   110	-21	-20.279	15.449	0.510
   111	-21	-20.286	10.965	0.508
   112	-20	-20.283	-4.263	0.515
   113	-21	-20.290	-19.292	0.517
   114	-19	-20.277	5.980	0.514
   115	-21	-20.285	26.698	0.507
   116	-21	-20.292	-26.329	0.511
   117	-19	-20.279	4.247	0.516
   118	-21	-20.286	-2.316	0.515
   119	-20	-20.283	-2.815	0.505
   120	-21	-20.290	8.201	0.521
   121	-20	-20.288	32.882	0.507
   122	-21	-20.295	4.817	0.505
   123	-20	-20.292	16.803	0.512
   124	-21	-20.299	9.610	0.514
   125	-19	-20.286	-10.610	0.520
   126	-21	-20.293	-17.848	0.518
   127	-20	-20.290	16.320	0.509
   128	-17	-20.257	-0.388	0.509
   129	-18	-20.235	0.914	0.513
   130	-20	-20.232	23.490	0.516
   131	-20	-20.230	28.123	0.507
   132	-21	-20.238	9.455	0.508
   133	-18	-20.215	-9.331	0.503
   134	-21	-20.223	-8.711	0.514
   135	-21	-20.231	2.859	0.514
   136	-20	-20.229	13.542	0.510
   137	-20	-20.226	50.390	0.513
   138	-20	-20.224	21.421	0.509
   139	-20	-20.222	6.570	0.520
   140	-20	-20.220	21.788	0.515
   141	-18	-20.197	-7.487	0.506
   142	-21	-20.205	9.749	0.511
   143	-21	-20.213	-18.835	0.518
   144	-21	-20.221	-3.448	0.513
   145	-21	-20.229	12.932	0.514
   146	-21	-20.237	4.500	0.508
   147	-20	-20.234	-24.026	0.510
   148	-20	-20.232	-18.095	0.511
   149	-19	-20.220	20.468	0.509
   150	-19	-20.207	-28.927	0.528
   151	-19	-20.195	-6.359	0.517
   152	-20	-20.193	-18.799	0.514
   153	-21	-20.201	2.493	0.510
   154	-19	-20.189	-35.513	0.518
   155	-21	-20.198	28.897	0.502
   156	-21	-20.206	-17.117	0.507
   157	-21	-20.214	-6.624	0.516
   158	-21	-20.221	29.878	0.506
   159	-20	-20.219	-30.405	0.507
   160	-21	-20.227	28.355	0.504
   161	-21	-20.235	0.362	0.511
   162	-20	-20.232	12.407	0.516
   163	-18	-20.210	-12.577	0.514
   164	-20	-20.208	16.413	0.510
   165	-19	-20.196	-1.663	0.506
   166	-21	-20.204	12.890	0.509
   167	-21	-20.212	28.189	0.509
   168	-21	-20.220	-3.371	0.512
   169	-20	-20.218	14.766	0.514
   170	-21	-20.225	1.109	0.503
   171	-20	-20.223	-9.442	0.509
   172	-18	-20.201	11.888	0.514
   173	-21	-20.209	-5.271	0.510
   174	-20	-20.207	23.664	0.508
   175	-19	-20.195	-16.080	0.509
   176	-20	-20.193	-10.805	0.521
   177	-21	-20.201	17.213	0.505
   178	-19	-20.189	-17.709	0.510
   179	-21	-20.197	-18.658	0.521
   180	-20	-20.195	11.462	0.515
   181	-21	-20.203	20.658	0.513
   182	-20	-20.201	9.113	0.519
   183	-21	-20.209	0.391	0.507
   184	-21	-20.217	-14.971	0.514
   185	-18	-20.195	9.437	0.509
   186	-20	-20.193	1.090	0.509
   187	-20	-20.191	-37.861	0.508
   188	-19	-20.179	-4.915	0.507
   189	-20	-20.177	3.381	0.508
   190	-19	-20.165	35.318	0.506
   191	-18	-20.144	9.051	0.520
   192	-21	-20.152	26.505	0.502
   193	-20	-20.151	12.291	0.517
   194	-20	-20.149	-42.952	0.510
   195	-19	-20.138	0.848	0.525
   196	-21	-20.146	-7.767	0.507
   197	-19	-20.135	27.896	0.509
   198	-21	-20.144	23.692	0.504
   199	-20	-20.142	2.524	0.506
   200	-21	-20.151	3.305	0.509
   201	-20	-20.149	8.054	0.512
   202	-21	-20.158	-10.314	0.506
   203	-20	-20.156	3.725	0.514
   204	-21	-20.165	49.309	0.510
   205	-21	-20.173	-4.490	0.508
   206	-21	-20.181	14.456	0.511
   207	-21	-20.189	6.909	0.508
   208	-20	-20.188	18.104	0.503
   209	-21	-20.196	1.323	0.512
   210	-21	-20.204	1.036	0.510
   211	-19	-20.192	-33.236	0.509
   212	-21	-20.200	-4.314	0.508
   213	-21	-20.208	-0.575	0.507
   214	-19	-20.196	19.073	0.514
   215	-21	-20.204	17.563	0.514
   216	-20	-20.202	7.409	0.516
   217	-18	-20.180	-1.496	0.509
   218	-21	-20.188	-16.635	0.502
   219	-20	-20.186	-15.530	0.512
   220	-20	-20.184	-32.210	0.506
   221	-20	-20.182	42.817	0.509
   222	-21	-20.190	-8.101	0.520
   223	-20	-20.189	-2.649	0.506
   224	-21	-20.197	42.275	0.507
   225	-21	-20.205	-2.759	0.517
   226	-21	-20.213	-21.572	0.514
   227	-20	-20.211	-7.371	0.511
   228	-20	-20.208	39.228	0.506
   229	-20	-20.206	7.654	0.519
   230	-18	-20.184	-5.341	0.506
   231	-21	-20.192	5.305	0.508
   232	-20	-20.191	1.178	0.510
   233	-21	-20.199	-24.795	0.510
   234	-21	-20.207	-29.446	0.520
   235	-19	-20.195	-3.805	0.510
   236	-19	-20.183	-17.817	0.508
   237	-20	-20.181	9.955	0.514
   238	-21	-20.189	28.386	0.511
   239	-20	-20.187	43.555	0.509
   240	-21	-20.195	14.360	0.521
   241	-19	-20.183	37.034	0.510
   242	-19	-20.171	-18.756	0.505
   243	-19	-20.160	6.737	0.520
   244	-20	-20.158	-10.107	0.506
   245	-20	-20.157	0.329	0.504
   246	-21	-20.165	17.629	0.507
   247	-19	-20.153	6.200	0.505
   248	-19	-20.142	43.740	0.505
   249	-20	-20.140	26.019	0.509
   250	-19	-20.129	41.125	0.509
   251	-21	-20.138	5.467	0.503
   252	-20	-20.136	19.104	0.508
   253	-21	-20.145	-6.136	0.503
   254	-20	-20.143	0.427	0.507
   255	-18	-20.122	24.947	0.510
   256	-18	-20.101	1.239	0.508
   257	-21	-20.110	-24.101	0.512
   258	-20	-20.109	18.620	0.513
   259	-19	-20.098	9.182	0.508
   260	-21	-20.107	-7.185	0.509
   261	-18	-20.086	14.608	0.505
   262	-21	-20.095	-4.582	0.510
   263	-21	-20.104	-0.836	0.510
   264	-19	-20.093	7.452	0.511
   265	-21	-20.102	21.461	0.516
   266	-19	-20.091	-2.950	0.514
   267	-19	-20.080	21.112	0.506
   268	-21	-20.089	-8.449	0.517
   269	-19	-20.078	-24.447	0.521
   270	-21	-20.087	17.890	0.514
   271	-20	-20.087	0.556	0.508
   272	-21	-20.096	34.404	0.511
   273	-21	-20.105	13.061	0.508
   274	-20	-20.104	-10.611	0.507
   275	-19	-20.093	29.254	0.510
   276	-21	-20.102	-9.064	0.512
   277	-17	-20.071	49.857	0.510
   278	-21	-20.080	-15.639	0.518
   279	-21	-20.089	6.784	0.509
   280	-21	-20.098	18.067	0.509
   281	-20	-20.097	4.909	0.512
   282	-19	-20.086	-13.439	0.508
   283	-21	-20.095	-4.281	0.504
   284	-20	-20.095	6.704	0.515
   285	-20	-20.094	45.323	0.506
   286	-20	-20.093	-3.113	0.515
   287	-17	-20.062	37.397	0.510
   288	-21	-20.071	-6.954	0.501
   289	-19	-20.060	-13.546	0.515
   290	-21	-20.070	-20.061	0.510
   291	-20	-20.069	-11.057	0.509
   292	-20	-20.068	-2.288	0.512
   293	-17	-20.038	58.826	0.507
   294	-20	-20.037	17.694	0.502
   295	-21	-20.047	0.108	0.508
   296	-20	-20.046	9.770	0.511
   297	-20	-20.046	-2.365	0.510
   298	-21	-20.056	12.094	0.505
   299	-21	-20.065	-0.546	0.513
   300	-20	-20.064	-32.864	0.511
   301	-20	-20.064	14.281	0.506
   302	-19	-20.053	27.549	0.513
   303	-21	-20.063	0.202	0.511
   304	-19	-20.052	22.730	0.517
   305	-21	-20.061	3.335	0.515
   306	-21	-20.071	28.258	0.506
   307	-20	-20.070	30.315	0.504
   308	-21	-20.079	-28.179	0.506
   309	-20	-20.079	67.582	0.508
   310	-21	-20.088	3.424	0.506
   311	-21	-20.097	32.550	0.502
   312	-20	-20.096	40.980	0.504
   313	-19	-20.085	8.863	0.509
   314	-20	-20.084	11.414	0.509
   315	-20	-20.083	37.470	0.502
   316	-20	-20.082	1.702	0.506
   317	-19	-20.072	6.718	0.510
   318	-15	-20.021	15.836	0.508
   319	-21	-20.031	18.018	0.506
